id;title__en;description__en;icon;tags;props__url;props__scheme;props__osi_approved
BSD-3-Clause-No-Military-License;BSD 3-Clause No Military License;;;all;https://github.com/greymass/swift-eosio/blob/master/LICENSE;spdx;y
BSD-3-Clause-No-Nuclear-License;BSD 3-Clause No Nuclear License;;;all;http://download.oracle.com/otn-pub/java/licenses/bsd.txt?AuthParam=1467140197_43d516ce1776bd08a58235a7785be1cc;spdx;y
BSD-3-Clause-No-Nuclear-License-2014;BSD 3-Clause No Nuclear License 2014;;;all;https://java.net/projects/javaeetutorial/pages/BerkeleyLicense;spdx;y
BSD-3-Clause-No-Nuclear-Warranty;BSD 3-Clause No Nuclear Warranty;;;all;https://jogamp.org/git/?p=gluegen.git;a=blob_plain;f=LICENSE.txt;spdx;y
BSD-3-Clause-Open-MPI;BSD 3-Clause Open MPI variant;;;all;http://www.netlib.org/lapack/LICENSE.txt;spdx;y
BSD-4-Clause;BSD 4-Clause "Original" or "Old" License;;;all;http://directory.fsf.org/wiki/License:BSD_4Clause;spdx;y
BSD-4-Clause-Shortened;BSD 4 Clause Shortened;;;all;https://metadata.ftp-master.debian.org/changelogs//main/a/arpwatch/arpwatch_2.1a15-7_copyright;spdx;y
BSD-4-Clause-UC;BSD-4-Clause (University of California-Specific);;;all;http://www.freebsd.org/copyright/license.html;spdx;y
BSD-Protection;BSD Protection License;;;all;https://fedoraproject.org/wiki/Licensing/BSD_Protection_License;spdx;y
BSD-Source-Code;BSD Source Code Attribution;;;all;https://github.com/robbiehanson/CocoaHTTPServer/blob/master/LICENSE.txt;spdx;y
BSL-1.0;Boost Software License 1.0;;;all;https://opensource.org/licenses/BSL-1.0;spdx;y
BUSL-1.1;Business Source License 1.1;;;all;https://mariadb.com/bsl11/;spdx;y
bzip2-1.0.5;bzip2 and libbzip2 License v1.0.5;;;all;http://bzip.org/1.0.5/bzip2-manual-1.0.5.html;spdx;y
bzip2-1.0.6;bzip2 and libbzip2 License v1.0.6;;;all;http://bzip.org/1.0.5/bzip2-manual-1.0.5.html;spdx;y
CAL-1.0;Cryptographic Autonomy License 1.0;;;all;https://opensource.org/licenses/CAL-1.0;spdx;y
CAL-1.0-Combined-Work-Exception;Cryptographic Autonomy License 1.0 (Combined Work Exception);;;all;https://opensource.org/licenses/CAL-1.0;spdx;y
Caldera;Caldera License;;;all;http://www.lemis.com/grog/UNIX/ancient-source-all.pdf;spdx;y
CATOSL-1.1;Computer Associates Trusted Open Source License 1.1;;;all;https://opensource.org/licenses/CATOSL-1.1;spdx;y
CC-BY-1.0;Creative Commons Attribution 1.0 Generic;;;all;https://creativecommons.org/licenses/by/1.0/legalcode;spdx;y
CC-BY-2.0;Creative Commons Attribution 2.0 Generic;;;all;https://creativecommons.org/licenses/by/2.0/legalcode;spdx;y
CC-BY-2.5;Creative Commons Attribution 2.5 Generic;;;all;https://creativecommons.org/licenses/by/2.5/legalcode;spdx;y
CC-BY-2.5-AU;Creative Commons Attribution 2.5 Australia;;;all;https://creativecommons.org/licenses/by/2.5/au/legalcode;spdx;y
CC-BY-3.0;Creative Commons Attribution 3.0 Unported;;;all;https://creativecommons.org/licenses/by/3.0/legalcode;spdx;y
CC-BY-3.0-AT;Creative Commons Attribution 3.0 Austria;;;all;https://creativecommons.org/licenses/by/3.0/at/legalcode;spdx;y
CC-BY-3.0-DE;Creative Commons Attribution 3.0 Germany;;;all;https://creativecommons.org/licenses/by/3.0/de/legalcode;spdx;y
CC-BY-3.0-NL;Creative Commons Attribution 3.0 Netherlands;;;all;https://creativecommons.org/licenses/by/3.0/nl/legalcode;spdx;y
CC-BY-3.0-US;Creative Commons Attribution 3.0 United States;;;all;https://creativecommons.org/licenses/by/3.0/us/legalcode;spdx;y
CC-BY-4.0;Creative Commons Attribution 4.0 International;The Creative Commons Attribution license allows re-distribution and re-use of a licensed work on the condition that the creator is appropriately credited.;;recommended,all,data;https://creativecommons.org/licenses/by/4.0/legalcode;spdx;y
CC-BY-NC-1.0;Creative Commons Attribution Non Commercial 1.0 Generic;;;all;https://creativecommons.org/licenses/by-nc/1.0/legalcode;spdx;y
CC-BY-NC-2.0;Creative Commons Attribution Non Commercial 2.0 Generic;;;all;https://creativecommons.org/licenses/by-nc/2.0/legalcode;spdx;y
CC-BY-NC-2.5;Creative Commons Attribution Non Commercial 2.5 Generic;;;all;https://creativecommons.org/licenses/by-nc/2.5/legalcode;spdx;y
CC-BY-NC-3.0;Creative Commons Attribution Non Commercial 3.0 Unported;;;all;https://creativecommons.org/licenses/by-nc/3.0/legalcode;spdx;y
CC-BY-NC-3.0-DE;Creative Commons Attribution Non Commercial 3.0 Germany;;;all;https://creativecommons.org/licenses/by-nc/3.0/de/legalcode;spdx;y
CC-BY-NC-4.0;Creative Commons Attribution Non Commercial 4.0 International;;;all;https://creativecommons.org/licenses/by-nc/4.0/legalcode;spdx;y
CC-BY-NC-ND-1.0;Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic;;;all;https://creativecommons.org/licenses/by-nd-nc/1.0/legalcode;spdx;y
CC-BY-NC-ND-2.0;Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic;;;all;https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode;spdx;y
CC-BY-NC-ND-2.5;Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic;;;all;https://creativecommons.org/licenses/by-nc-nd/2.5/legalcode;spdx;y
CC-BY-NC-ND-3.0;Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported;;;all;https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode;spdx;y
CC-BY-NC-ND-3.0-DE;Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany;;;all;https://creativecommons.org/licenses/by-nc-nd/3.0/de/legalcode;spdx;y
CC-BY-NC-ND-3.0-IGO;Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO;;;all;https://creativecommons.org/licenses/by-nc-nd/3.0/igo/legalcode;spdx;y
CC-BY-NC-ND-4.0;Creative Commons Attribution Non Commercial No Derivatives 4.0 International;;;all;https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode;spdx;y
CC-BY-NC-SA-1.0;Creative Commons Attribution Non Commercial Share Alike 1.0 Generic;;;all;https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode;spdx;y
CC-BY-NC-SA-2.0;Creative Commons Attribution Non Commercial Share Alike 2.0 Generic;;;all;https://creativecommons.org/licenses/by-nc-sa/2.0/legalcode;spdx;y
CC-BY-NC-SA-2.0-FR;Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France;;;all;https://creativecommons.org/licenses/by-nc-sa/2.0/fr/legalcode;spdx;y
CC-BY-NC-SA-2.0-UK;Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales;;;all;https://creativecommons.org/licenses/by-nc-sa/2.0/uk/legalcode;spdx;y
CC-BY-NC-SA-2.5;Creative Commons Attribution Non Commercial Share Alike 2.5 Generic;;;all;https://creativecommons.org/licenses/by-nc-sa/2.5/legalcode;spdx;y
CC-BY-NC-SA-3.0;Creative Commons Attribution Non Commercial Share Alike 3.0 Unported;;;all;https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode;spdx;y
CC-BY-NC-SA-3.0-DE;Creative Commons Attribution Non Commercial Share Alike 3.0 Germany;;;all;https://creativecommons.org/licenses/by-nc-sa/3.0/de/legalcode;spdx;y
CC-BY-NC-SA-3.0-IGO;Creative Commons Attribution Non Commercial Share Alike 3.0 IGO;;;all;https://creativecommons.org/licenses/by-nc-sa/3.0/igo/legalcode;spdx;y
CC-BY-NC-SA-4.0;Creative Commons Attribution Non Commercial Share Alike 4.0 International;;;all;https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode;spdx;y
CC-BY-ND-1.0;Creative Commons Attribution No Derivatives 1.0 Generic;;;all;https://creativecommons.org/licenses/by-nd/1.0/legalcode;spdx;y
CC-BY-ND-2.0;Creative Commons Attribution No Derivatives 2.0 Generic;;;all;https://creativecommons.org/licenses/by-nd/2.0/legalcode;spdx;y
